text,emotion,severity,intent,context,response
work My situation is making me feel stress,anxiety,low,information,work,"You are not alone, and it's okay to seek help."
Lately my health has causing neutral me,neutral,medium,general,health,It might help to take a break and relax.
Lately my study has been me causing stress,stress,high,information,study,It sounds like you're going through something difficult.
I don't know how to handle this sadness anymore,sadness,low,vent,study,Consider talking to someone you trust.
Lately my study has been causing me stress,stress,medium,crisis,study,It sounds like you're going through something difficult.
I feel medium of anger recently,anger,medium,help,social,Try taking small steps to manage your situation.
Sometimes I feel stress without any reason,stress,high,help,work,"You are not alone, and it's okay to seek help."
Sometimes I feel anger without any reason,anger,low,crisis,social,Consider talking to someone you trust.
Sometimes I feel sadness without any reason,sadness,high,vent,study,Seeking professional support could be beneficial.
I don't know how to handle this anger anymore,anger,high,general,health,It might help to take a break and relax.
Lately my family has been causing me sadness,sadness,medium,crisis,family,Seeking professional support could be beneficial.
I neutral feel because of my work,neutral,medium,vent,work,It might help to take a break and relax.
Sometimes I feel neutral without any reason,neutral,medium,help,study,Seeking professional support could be beneficial.
I don't know how to handle this anger anymore,anger,low,vent,health,It sounds like you're going through something difficult.
Lately my social has been causing me anger,anger,medium,help,social,Try taking small steps to manage your situation.
I am dealing with anger and it is getting medium,anger,medium,general,study,"You are not alone, and it's okay to seek help."
Sometimes I feel anger without any reason,anger,high,crisis,family,It sounds like you're going through something difficult.
I feel medium levels of stress recently,stress,medium,general,study,Consider talking to someone you trust.
I dealing am with stress and it is getting high,anxiety,high,help,study,It might help to take a break and relax.
My family situation is making me feel anger,anger,high,help,family,Consider talking to someone you trust.
Lately my social has been causing me stress,stress,low,vent,social,Seeking professional support could be beneficial.
My study situation is making me feel sadness,sadness,low,information,study,Consider talking to someone you trust.
I don't how know to handle this sadness anymore,sadness,high,crisis,study,It sounds like you're going through something difficult.
My social situation is making me feel stress,stress,high,information,social,Seeking professional support could be beneficial.
My health situation is making me feel stress,stress,high,crisis,health,Consider talking to someone you trust.
My health situation is making me feel anxiety,anxiety,medium,crisis,health,Consider talking to someone you trust.
Lately my family has been causing me neutral,neutral,high,vent,family,It sounds like you're going through something difficult.
I feel sadness because of my study,sadness,low,vent,study,Consider talking to someone you trust.
Sometimes I feel anger without any reason,anger,low,information,family,It might help to take a break and relax.
am dealing with downness and it is getting medium,sadness,medium,general,health,Seeking professional support could be beneficial.
